start_sec,end_sec,dt_sec,angle_command,speed_command,lidar_dx_m,lidar_dy_m,lidar_yaw_rad,lidar_arc_m,gyro_integral_raw_rad,icp_rmse_m,icp_inliers,icp_inlier_ratio,icp_seed_gain_span,accepted,rejection_reason
1784878367.472824,1784878367.991056,0.5182318687438965,-42.0,3.0,0.1781056148579046,0.016413215665222233,0.18508666075016586,0.17911584755106424,-0.16912902601191881,0.010846489702448217,57,0.6785714285714286,0.048931323969579,False,initialization_sensitive
1784878367.991056,1784878368.5103152,0.5192592144012451,-42.0,3.0,0.1429730055064828,-0.03117119459264451,0.21535238530806866,0.14661470218403416,-0.1468470816940855,0.03148627611342896,64,0.7619047619047619,0.02072212444954047,False,initialization_sensitive
1784878368.5103152,1784878369.02798,0.517664909362793,-42.0,3.0,0.17019749897033232,-0.008251562049218439,0.1923179740058962,0.17066029042513917,-0.15866132923654802,0.022110648731432307,62,0.7380952380952381,0.0056486255345201825,True,
1784878369.02798,1784878369.547323,0.5193428993225098,-42.0,3.0,0.1612958908610339,0.014668375802771055,0.1739269839316447,0.16216581761432886,-0.16010903990176983,0.024659599932890457,64,0.7619047619047619,0.0022577091209558947,True,
1784878369.547323,1784878370.067022,0.5196990966796875,-42.0,3.0,0.16169029570957344,0.008915091866130348,0.1737025461617362,0.1621396477697588,-0.15620026005006654,0.02525444986733234,62,0.7948717948717948,0.002840559678869925,True,
1784878370.067022,1784878370.589118,0.5220959186553955,20.41666603088379,3.0,0.14139282391904656,-0.022137340768086426,-0.0898925577262656,0.14316350946249726,0.09263051010004052,0.024561523136505854,62,0.7848101265822784,1.5404344466674047e-15,True,
1784878370.589118,1784878371.1073592,0.5182411670684814,17.08333396911621,3.0,0.16454076705800302,0.013631379246197162,-0.11601269555245693,0.16519707250036605,0.10667496065712655,0.032723356036822346,71,0.8068181818181818,0.0004964355887179528,True,
1784878371.1073592,1784878371.623441,0.5160818099975586,-5.0,3.0,0.13974949017553656,-0.009475137815620847,0.015506620129772965,0.14007173656377062,0.0018283042446418296,0.023220384691172758,71,0.797752808988764,0.0035765804453275624,True,
1784878371.623441,1784878372.139601,0.5161600112915039,-21.25,3.0,0.15348916509209842,-0.007648724804785453,0.07402668319441946,0.15371471933547787,-0.045644295215606694,0.019074292605696028,70,0.7954545454545454,0.001647790154757925,True,
1784878372.139601,1784878372.6547112,0.5151102542877197,-24.58333396911621,3.0,0.15017234488464237,-0.009034587704276394,0.08791554156244645,0.15049232743004096,-0.06498351516388125,0.026960623523799063,64,0.7901234567901234,0.002279140657545295,True,
