index,time_sec,white_line_count,white_pair,yellow,white_components,yellow_components,white_spacing_m,yellow_center_offset_m,failure_score
366,23.208125,0,0,0,0,0,,,9.000
367,23.242802,0,0,0,0,0,,,9.000
368,23.342353,0,0,0,0,0,,,9.000
369,23.383001,0,0,0,0,0,,,9.000
370,23.482621,0,0,0,0,0,,,9.000
371,23.552480,0,0,1,0,1,,,6.000
372,23.593608,0,0,1,0,1,,,6.000
373,23.698234,0,0,1,0,1,,,6.000
374,23.751316,0,0,1,0,1,,,6.000
375,23.799200,0,0,1,0,1,,,6.000
376,23.975884,2,1,1,6,1,0.6207031249999999,,4.041
377,24.014583,2,1,1,6,1,0.65625,,4.097
378,24.059414,1,0,1,4,1,,,4.500
379,24.150834,2,1,1,3,1,0.6617187499999999,,2.529
380,24.210970,2,1,1,6,1,0.642578125,,4.268
381,24.254994,2,1,1,6,1,0.6412109374999999,,4.285
382,24.363175,2,1,0,5,0,0.637109375,,6.336
383,24.457519,2,1,1,8,1,0.6904296875,,3.670
384,24.608655,2,1,1,4,1,0.6890624999999999,,2.187
385,24.681520,2,1,1,3,1,0.5154296875,-0.27890624999999997,3.000
386,24.721148,1,0,1,1,1,,,4.000
387,24.788860,1,0,1,2,1,,,4.000
388,24.825595,2,1,1,2,1,0.522265625,-0.27958984374999996,3.000
389,24.907463,2,1,1,2,1,0.522265625,-0.28300781249999996,3.000
390,24.949707,1,0,1,1,1,,,4.000
391,25.115776,1,0,1,1,1,,,4.000
392,25.147479,2,1,1,2,1,0.5304687499999999,-0.2884765625,3.000
393,25.234875,1,0,1,1,1,,,4.000
394,25.266341,1,0,1,1,1,,,4.000
395,25.293289,1,0,1,1,1,,,4.000
396,25.321459,1,0,1,1,1,,,4.000
397,25.359875,1,0,1,1,1,,,4.000
398,25.406141,1,0,1,1,1,,,4.000
399,25.469695,1,0,1,1,1,,,4.000
400,25.519742,1,0,1,1,1,,,4.000
401,25.558164,1,0,0,1,0,,,7.000
402,25.603134,1,0,0,1,0,,,7.000
403,25.765672,1,0,0,1,0,,,7.000
404,25.811565,1,0,0,1,0,,,7.000
405,25.855809,1,0,0,1,0,,,7.000
406,25.899843,1,0,0,1,0,,,7.000
407,25.944699,1,0,0,1,0,,,7.000
408,26.003878,1,0,0,1,0,,,7.000
409,26.045727,1,0,0,1,0,,,7.000
410,26.090222,1,0,0,1,0,,,7.000
411,26.255478,1,0,0,1,0,,,7.000
412,26.288050,1,0,0,1,0,,,7.000
413,26.331377,1,0,0,1,0,,,7.000
414,26.389772,1,0,0,1,0,,,7.000
415,26.437849,1,0,0,1,0,,,7.000
416,26.508627,1,0,0,1,0,,,7.000
417,26.554265,1,0,0,1,0,,,7.000
418,26.708971,1,0,0,1,0,,,7.000
419,26.768512,1,0,0,1,0,,,7.000
420,26.836215,1,0,1,1,1,,,4.000
421,26.991662,1,0,1,1,1,,,4.000
422,27.046025,1,0,1,1,1,,,4.000
423,27.106944,1,0,1,1,1,,,4.000
424,27.205434,1,0,1,1,1,,,4.000
425,27.265234,1,0,1,1,1,,,4.000
426,27.311821,1,0,1,1,1,,,4.000
427,27.566301,1,0,0,1,0,,,7.000
428,27.598373,1,0,0,1,0,,,7.000
429,27.638280,0,0,0,0,0,,,9.000
430,27.733431,0,0,0,0,0,,,9.000
431,27.777455,0,0,0,0,0,,,9.000
432,27.814018,0,0,0,0,0,,,9.000
433,27.846468,1,0,0,1,0,,,7.000
434,27.901429,1,0,0,2,0,,,7.000
435,27.978100,0,0,1,0,1,,,6.000
436,28.052796,1,0,0,2,0,,,7.000
437,28.145240,1,0,1,1,1,,,4.000
438,28.180530,1,0,1,1,1,,,4.000
439,28.232254,1,0,1,5,1,,,5.000
440,28.264101,1,0,0,3,0,,,7.000
441,28.293808,1,0,0,2,0,,,7.000
442,28.431184,1,0,1,1,1,,,4.000
443,28.479095,1,0,1,2,1,,,4.000
444,28.525446,1,0,1,3,1,,,4.000
445,28.602450,1,0,1,5,1,,,4.000
446,28.647040,1,0,1,1,1,,,4.000
447,28.689668,1,0,1,2,1,,,4.000
448,28.774036,1,0,1,7,1,,,4.500
449,28.811178,1,0,1,8,1,,,4.000
450,28.854938,1,0,1,6,1,,,4.000
451,28.948092,1,0,1,7,1,,,4.000
452,28.993857,1,0,1,5,1,,,4.000
453,29.127601,1,0,1,3,1,,,4.000
454,29.175064,1,0,1,4,1,,,4.000
455,29.209413,1,0,1,4,1,,,4.000
456,29.301737,1,0,1,3,1,,,4.000
457,29.332155,1,0,1,2,1,,,4.000
458,29.376369,1,0,1,2,1,,,4.000
459,29.424184,1,0,1,2,1,,,4.000
460,29.548470,2,1,1,3,1,0.5455078124999999,,3.500
461,29.636783,2,1,1,4,1,0.50859375,,3.500
462,29.666944,2,1,1,4,1,0.555078125,,4.000
463,29.724174,2,1,1,4,1,0.5277343749999999,,3.500
464,29.770870,2,1,1,5,1,0.48808593749999996,,4.000
465,29.822516,1,0,1,3,1,,,4.500
466,29.854989,1,0,1,2,1,,,4.000
467,29.946128,1,0,1,3,1,,,4.000
468,29.992543,1,0,1,5,1,,,4.500
469,30.074173,2,1,1,7,1,0.47578125,,4.500
470,30.123380,2,1,1,6,1,0.61796875,,4.075
471,30.158698,2,1,1,7,1,0.46484375,,4.000
472,30.250204,2,1,0,5,0,0.46484374999999994,,7.500
473,30.297817,2,1,0,9,0,0.6398437499999999,,7.302
474,30.343144,2,1,0,6,0,0.637109375,,7.336
475,30.388773,2,1,0,8,0,0.653515625,,7.131
476,30.419770,2,1,0,6,0,0.65625,,7.097
477,30.512605,2,1,0,2,0,0.5564453125,,6.000
478,30.558424,1,0,0,1,0,,,7.000
479,30.655435,2,1,1,2,1,0.462109375,-0.2119140625,3.000
480,30.744768,1,0,1,1,1,,,4.000
481,30.786373,1,0,1,1,1,,,4.000
482,30.863584,1,0,1,1,1,,,4.000
483,30.952704,1,0,1,1,1,,,4.000
484,30.988520,1,0,1,1,1,,,4.000
485,31.071936,1,0,1,1,1,,,4.000
486,31.123343,1,0,1,1,1,,,4.000
487,31.160327,1,0,1,1,1,,,4.000
488,31.258707,1,0,1,1,1,,,4.000
489,31.293651,1,0,1,1,1,,,4.000
490,31.349802,1,0,1,1,1,,,4.000
491,31.431017,2,1,1,5,1,0.5167968749999999,-0.2365234375,4.500
492,31.521399,2,1,1,7,1,0.5140625,-0.23515624999999998,4.000
493,31.558456,2,1,1,4,1,0.511328125,-0.23242187499999997,3.500
494,31.599269,2,1,1,3,1,0.50859375,-0.23242187499999997,3.500
495,31.640740,2,1,1,4,1,0.505859375,-0.2310546875,4.000
496,31.725141,2,1,1,4,1,0.48671875,-0.22421875,4.000
497,31.766274,2,1,1,4,1,0.49765624999999997,-0.22695312499999998,3.500
498,31.812542,2,1,1,4,1,0.49765624999999997,-0.22695312499999998,3.500
499,31.853388,2,1,1,3,1,0.4990234375,-0.22832031249999998,3.500
